,County,Battery Electric Vehicles (BEVs),Month,Year
730,Skagit,216,7,2018
731,Skamania,13,7,2018
732,Snohomish,2405,7,2018
733,Spokane,348,7,2018
734,Stevens,11,7,2018
735,Thurston,577,7,2018
736,Wahkiakum,1,7,2018
737,Walla Walla,34,7,2018
738,Whatcom,639,7,2018
739,Whitman,19,7,2018
740,Yakima,65,7,2018
741,Adams,5,8,2018
742,Asotin,11,8,2018
743,Benton,189,8,2018
744,Chelan,114,8,2018
745,Clallam,128,8,2018
746,Clark,1069,8,2018
747,Columbia,2,8,2018
748,Cowlitz,62,8,2018
749,Douglas,45,8,2018
750,Ferry,2,8,2018
751,Franklin,36,8,2018
752,Garfield,1,8,2018
753,Grant,34,8,2018
754,Grays Harbor,54,8,2018
755,Island,216,8,2018
756,Jefferson,152,8,2018
757,King,13807,8,2018
758,Kitsap,829,8,2018
759,Kittitas,51,8,2018
760,Klickitat,24,8,2018
761,Lewis,83,8,2018
762,Lincoln,3,8,2018
763,Mason,92,8,2018
764,Okanogan,10,8,2018
765,Pacific,19,8,2018
766,Pend Oreille,5,8,2018
767,Pierce,1303,8,2018
768,San Juan,152,8,2018
769,Skagit,221,8,2018
770,Skamania,14,8,2018
771,Snohomish,2472,8,2018
772,Spokane,361,8,2018
773,Stevens,12,8,2018
774,Thurston,603,8,2018
775,Wahkiakum,1,8,2018
776,Walla Walla,34,8,2018
777,Whatcom,655,8,2018
778,Whitman,20,8,2018
779,Yakima,67,8,2018
780,Adams,5,9,2018
781,Asotin,11,9,2018
782,Benton,188,9,2018
783,Chelan,117,9,2018
784,Clallam,129,9,2018
785,Clark,1089,9,2018
786,Columbia,2,9,2018
787,Cowlitz,63,9,2018
788,Douglas,48,9,2018
789,Ferry,2,9,2018
790,Franklin,37,9,2018
791,Garfield,1,9,2018
792,Grant,33,9,2018
793,Grays Harbor,55,9,2018
794,Island,227,9,2018
795,Jefferson,153,9,2018
796,King,14209,9,2018
797,Kitsap,842,9,2018
798,Kittitas,55,9,2018
799,Klickitat,24,9,2018
800,Lewis,84,9,2018
801,Lincoln,2,9,2018
802,Mason,94,9,2018
803,Okanogan,10,9,2018
804,Pacific,18,9,2018
805,Pend Oreille,5,9,2018
806,Pierce,1325,9,2018
807,San Juan,161,9,2018
808,Skagit,223,9,2018
809,Skamania,15,9,2018
810,Snohomish,2517,9,2018
811,Spokane,360,9,2018
812,Stevens,13,9,2018
813,Thurston,621,9,2018
814,Wahkiakum,1,9,2018
815,Walla Walla,36,9,2018
816,Whatcom,668,9,2018
817,Whitman,20,9,2018
818,Yakima,67,9,2018
819,Adams,5,10,2018
820,Asotin,12,10,2018
821,Benton,192,10,2018
822,Chelan,126,10,2018
823,Clallam,136,10,2018
824,Clark,1149,10,2018
825,Columbia,2,10,2018
826,Cowlitz,69,10,2018
827,Douglas,47,10,2018
828,Ferry,3,10,2018
829,Franklin,35,10,2018
830,Garfield,1,10,2018
831,Grant,32,10,2018
832,Grays Harbor,60,10,2018
833,Island,244,10,2018
834,Jefferson,163,10,2018
835,King,15038,10,2018
836,Kitsap,880,10,2018
837,Kittitas,57,10,2018
838,Klickitat,24,10,2018
839,Lewis,88,10,2018
840,Lincoln,2,10,2018
841,Mason,101,10,2018
842,Okanogan,15,10,2018
843,Pacific,19,10,2018
844,Pend Oreille,6,10,2018
845,Pierce,1405,10,2018
846,San Juan,169,10,2018
847,Skagit,241,10,2018
848,Skamania,18,10,2018
849,Snohomish,2638,10,2018
850,Spokane,383,10,2018
851,Stevens,14,10,2018
852,Thurston,663,10,2018
853,Wahkiakum,1,10,2018
854,Walla Walla,36,10,2018
855,Whatcom,702,10,2018
856,Whitman,19,10,2018
