,CPI,48_month_loan,60_month_loan,s&p,New BEV Added
70,296.797,6.94,6.55,3960.66,2365.0
71,299.17,6.94,6.55,4079.68,3285.0
72,300.84,7.46,7.48,3968.56,2457.0
73,301.836,7.46,7.48,4121.47,2542.0
74,303.363,7.46,7.48,4146.17,3360.0
75,304.127,7.59,7.81,4345.37,3489.0
76,305.109,7.59,7.81,4508.08,3517.0
77,305.691,7.59,7.81,4457.36,3558.0
78,307.026,8.3,7.88,4409.1,5288.0
79,271.4741549133143,5.261133190392314,5.1036907010833685,3407.4109807154755,1393.8720659971468
80,253.31109250461407,5.139984439461918,4.903015445914041,2903.3000918981325,759.2322502990083
81,246.35751147498723,5.111726814422121,4.84528367946146,2711.434856979279,515.5805994976992
82,243.24110809360113,5.11143050074575,4.836488061860769,2629.532491955569,410.60055724307995
83,241.92652777773108,5.110168140913791,4.838406450426079,2592.3918491028244,343.94219527529026
84,241.63347882783052,5.0884475953672785,4.833467926962873,2577.8046852959956,308.7421563899962
85,242.06474801108808,5.062448052188589,4.8354148320058945,2575.421191102593,291.8333708244374
86,242.91877307460112,5.0303351112702845,4.845163248035553,2582.0543004328006,269.0283793724446
87,243.5293411889953,4.984582570534284,4.843582720805718,2594.571264023757,249.36081358205104
88,244.04338399196774,4.933941711556296,4.835584629030909,2613.4821189350605,224.28105126284197
89,244.31323237058655,4.94217302103476,4.839843174749112,2647.1324843720663,241.43556170761644
90,244.930890914691,4.972297841985962,4.865994950488575,2698.064663665623,291.8290082517183
91,245.21601818401948,4.964784374130617,4.85149651841546,2728.0747495851338,303.34972522980615
92,245.93122066739767,4.947978914437992,4.833715615927813,2754.2044041991157,322.61619972475665
93,246.89399014111055,4.957424051180856,4.835818655977818,2771.917502485025,369.1523704058063
94,247.50336324896713,4.983914520751329,4.850593790074099,2784.7596617055606,381.1757170932255
95,248.72002804584312,5.028341104365941,4.885249136784142,2812.7528325474495,438.049446932689
96,250.39868787733556,5.068099764892252,4.924765478317505,2848.8541943803134,514.2865009600073
97,251.9452270608733,5.107372869426814,4.962813818702611,2887.461081908157,561.1593993990443
