,Date,County,Battery Electric Vehicles (BEVs)
290,2017-08-31,Kitsap,638
291,2017-08-31,Kittitas,27
292,2017-08-31,Klickitat,22
293,2017-08-31,Lewis,55
294,2017-08-31,Lincoln,1
295,2017-08-31,Mason,59
296,2017-08-31,Okanogan,4
297,2017-08-31,Pacific,10
298,2017-08-31,Pend Oreille,3
299,2017-08-31,Pierce,999
300,2017-08-31,San Juan,113
301,2017-08-31,Skagit,141
302,2017-08-31,Skamania,10
303,2017-08-31,Snohomish,1848
304,2017-08-31,Spokane,269
305,2017-08-31,Stevens,8
306,2017-08-31,Thurston,421
307,2017-08-31,Wahkiakum,0
308,2017-08-31,Walla Walla,27
309,2017-08-31,Whatcom,483
310,2017-08-31,Whitman,11
311,2017-08-31,Yakima,54
312,2017-09-30,Adams,3
313,2017-09-30,Asotin,7
314,2017-09-30,Benton,163
315,2017-09-30,Chelan,75
316,2017-09-30,Clallam,95
317,2017-09-30,Clark,810
318,2017-09-30,Columbia,1
319,2017-09-30,Cowlitz,52
320,2017-09-30,Douglas,35
321,2017-09-30,Ferry,1
322,2017-09-30,Franklin,29
323,2017-09-30,Garfield,1
324,2017-09-30,Grant,20
325,2017-09-30,Grays Harbor,38
326,2017-09-30,Island,129
327,2017-09-30,Jefferson,114
328,2017-09-30,King,10658
329,2017-09-30,Kitsap,654
330,2017-09-30,Kittitas,33
331,2017-09-30,Klickitat,23
332,2017-09-30,Lewis,53
333,2017-09-30,Lincoln,2
334,2017-09-30,Mason,61
335,2017-09-30,Okanogan,5
336,2017-09-30,Pacific,12
337,2017-09-30,Pend Oreille,3
338,2017-09-30,Pierce,1012
339,2017-09-30,San Juan,117
340,2017-09-30,Skagit,149
341,2017-09-30,Skamania,10
342,2017-09-30,Snohomish,1912
343,2017-09-30,Spokane,277
344,2017-09-30,Stevens,8
345,2017-09-30,Thurston,435
346,2017-09-30,Wahkiakum,0
347,2017-09-30,Walla Walla,27
348,2017-09-30,Whatcom,498
349,2017-09-30,Whitman,12
350,2017-09-30,Yakima,57
351,2017-10-31,Adams,3
352,2017-10-31,Asotin,7
353,2017-10-31,Benton,164
354,2017-10-31,Chelan,77
355,2017-10-31,Clallam,96
356,2017-10-31,Clark,829
357,2017-10-31,Columbia,1
358,2017-10-31,Cowlitz,54
359,2017-10-31,Douglas,36
360,2017-10-31,Ferry,1
361,2017-10-31,Franklin,31
362,2017-10-31,Garfield,1
363,2017-10-31,Grant,20
364,2017-10-31,Grays Harbor,38
365,2017-10-31,Island,138
366,2017-10-31,Jefferson,116
367,2017-10-31,King,10946
368,2017-10-31,Kitsap,662
369,2017-10-31,Kittitas,33
370,2017-10-31,Klickitat,23
371,2017-10-31,Lewis,53
372,2017-10-31,Lincoln,2
373,2017-10-31,Mason,61
374,2017-10-31,Okanogan,5
375,2017-10-31,Pacific,14
376,2017-10-31,Pend Oreille,3
377,2017-10-31,Pierce,1040
378,2017-10-31,San Juan,127
379,2017-10-31,Skagit,152
380,2017-10-31,Skamania,10
381,2017-10-31,Snohomish,1948
382,2017-10-31,Spokane,287
383,2017-10-31,Stevens,9
384,2017-10-31,Thurston,442
385,2017-10-31,Wahkiakum,0
386,2017-10-31,Walla Walla,28
387,2017-10-31,Whatcom,512
388,2017-10-31,Whitman,12
389,2017-10-31,Yakima,57
390,2017-11-30,Adams,3
391,2017-11-30,Asotin,7
392,2017-11-30,Benton,165
393,2017-11-30,Chelan,83
394,2017-11-30,Clallam,98
395,2017-11-30,Clark,840
396,2017-11-30,Columbia,2
397,2017-11-30,Cowlitz,54
398,2017-11-30,Douglas,37
399,2017-11-30,Ferry,1
400,2017-11-30,Franklin,31
401,2017-11-30,Garfield,1
402,2017-11-30,Grant,24
403,2017-11-30,Grays Harbor,42
404,2017-11-30,Island,147
405,2017-11-30,Jefferson,116
406,2017-11-30,King,11135
407,2017-11-30,Kitsap,677
408,2017-11-30,Kittitas,34
409,2017-11-30,Klickitat,24
410,2017-11-30,Lewis,53
411,2017-11-30,Lincoln,2
412,2017-11-30,Mason,63
413,2017-11-30,Okanogan,5
414,2017-11-30,Pacific,15
415,2017-11-30,Pend Oreille,3
416,2017-11-30,Pierce,1050
417,2017-11-30,San Juan,126
418,2017-11-30,Skagit,160
419,2017-11-30,Skamania,10
420,2017-11-30,Snohomish,1988
421,2017-11-30,Spokane,292
422,2017-11-30,Stevens,10
423,2017-11-30,Thurston,457
424,2017-11-30,Wahkiakum,0
425,2017-11-30,Walla Walla,29
426,2017-11-30,Whatcom,525
427,2017-11-30,Whitman,16
428,2017-11-30,Yakima,57
429,2017-12-31,Adams,4
430,2017-12-31,Asotin,8
431,2017-12-31,Benton,172
432,2017-12-31,Chelan,86
433,2017-12-31,Clallam,99
434,2017-12-31,Clark,851
435,2017-12-31,Columbia,2
436,2017-12-31,Cowlitz,54
437,2017-12-31,Douglas,38
438,2017-12-31,Ferry,1
439,2017-12-31,Franklin,30
440,2017-12-31,Garfield,1
441,2017-12-31,Grant,26
442,2017-12-31,Grays Harbor,42
443,2017-12-31,Island,155
444,2017-12-31,Jefferson,121
445,2017-12-31,King,11282
446,2017-12-31,Kitsap,694
447,2017-12-31,Kittitas,35
448,2017-12-31,Klickitat,24
449,2017-12-31,Lewis,54
450,2017-12-31,Lincoln,2
451,2017-12-31,Mason,66
452,2017-12-31,Okanogan,7
453,2017-12-31,Pacific,15
454,2017-12-31,Pend Oreille,3
455,2017-12-31,Pierce,1071
456,2017-12-31,San Juan,132
457,2017-12-31,Skagit,168
458,2017-12-31,Skamania,10
459,2017-12-31,Snohomish,2017
460,2017-12-31,Spokane,298
461,2017-12-31,Stevens,10
462,2017-12-31,Thurston,470
463,2017-12-31,Wahkiakum,0
464,2017-12-31,Walla Walla,29
465,2017-12-31,Whatcom,533
466,2017-12-31,Whitman,17
467,2017-12-31,Yakima,59
468,2018-01-31,Adams,4
469,2018-01-31,Asotin,8
470,2018-01-31,Benton,175
471,2018-01-31,Chelan,94
472,2018-01-31,Clallam,106
473,2018-01-31,Clark,873
474,2018-01-31,Columbia,2
475,2018-01-31,Cowlitz,54
476,2018-01-31,Douglas,43
477,2018-01-31,Ferry,1
478,2018-01-31,Franklin,31
479,2018-01-31,Garfield,1
480,2018-01-31,Grant,29
481,2018-01-31,Grays Harbor,42
482,2018-01-31,Island,159
483,2018-01-31,Jefferson,124
484,2018-01-31,King,11624
485,2018-01-31,Kitsap,707
486,2018-01-31,Kittitas,36
487,2018-01-31,Klickitat,24
488,2018-01-31,Lewis,52
489,2018-01-31,Lincoln,2
490,2018-01-31,Mason,65
491,2018-01-31,Okanogan,7
492,2018-01-31,Pacific,15
493,2018-01-31,Pend Oreille,4
494,2018-01-31,Pierce,1095
495,2018-01-31,San Juan,137
496,2018-01-31,Skagit,171
497,2018-01-31,Skamania,11
498,2018-01-31,Snohomish,2074
499,2018-01-31,Spokane,301
500,2018-01-31,Stevens,10
501,2018-01-31,Thurston,487
502,2018-01-31,Wahkiakum,0
503,2018-01-31,Walla Walla,30
504,2018-01-31,Whatcom,549
505,2018-01-31,Whitman,18
506,2018-01-31,Yakima,60
507,2018-02-28,Adams,5
508,2018-02-28,Asotin,8
509,2018-02-28,Benton,175
510,2018-02-28,Chelan,94
511,2018-02-28,Clallam,109
512,2018-02-28,Clark,888
513,2018-02-28,Columbia,2
514,2018-02-28,Cowlitz,54
515,2018-02-28,Douglas,43
516,2018-02-28,Ferry,1
517,2018-02-28,Franklin,32
518,2018-02-28,Garfield,1
519,2018-02-28,Grant,31
520,2018-02-28,Grays Harbor,42
521,2018-02-28,Island,165
522,2018-02-28,Jefferson,127
523,2018-02-28,King,11763
524,2018-02-28,Kitsap,717
525,2018-02-28,Kittitas,36
526,2018-02-28,Klickitat,25
527,2018-02-28,Lewis,52
528,2018-02-28,Lincoln,2
529,2018-02-28,Mason,64
530,2018-02-28,Okanogan,7
531,2018-02-28,Pacific,15
532,2018-02-28,Pend Oreille,4
533,2018-02-28,Pierce,1116
534,2018-02-28,San Juan,140
535,2018-02-28,Skagit,173
536,2018-02-28,Skamania,11
537,2018-02-28,Snohomish,2089
538,2018-02-28,Spokane,307
539,2018-02-28,Stevens,10
540,2018-02-28,Thurston,492
541,2018-02-28,Wahkiakum,0
542,2018-02-28,Walla Walla,31
543,2018-02-28,Whatcom,557
544,2018-02-28,Whitman,18
545,2018-02-28,Yakima,61
546,2018-03-31,Adams,5
547,2018-03-31,Asotin,8
548,2018-03-31,Benton,176
549,2018-03-31,Chelan,96
550,2018-03-31,Clallam,119
551,2018-03-31,Clark,918
552,2018-03-31,Columbia,2
553,2018-03-31,Cowlitz,55
554,2018-03-31,Douglas,42
555,2018-03-31,Ferry,1
556,2018-03-31,Franklin,34
557,2018-03-31,Garfield,1
558,2018-03-31,Grant,32
559,2018-03-31,Grays Harbor,45
560,2018-03-31,Island,175
561,2018-03-31,Jefferson,132
562,2018-03-31,King,11976
563,2018-03-31,Kitsap,741
564,2018-03-31,Kittitas,40
565,2018-03-31,Klickitat,26
566,2018-03-31,Lewis,55
567,2018-03-31,Lincoln,2
568,2018-03-31,Mason,68
569,2018-03-31,Okanogan,7
570,2018-03-31,Pacific,15
571,2018-03-31,Pend Oreille,4
572,2018-03-31,Pierce,1126
573,2018-03-31,San Juan,140
574,2018-03-31,Skagit,174
575,2018-03-31,Skamania,12
576,2018-03-31,Snohomish,2134
577,2018-03-31,Spokane,305
578,2018-03-31,Stevens,9
579,2018-03-31,Thurston,518
580,2018-03-31,Wahkiakum,1
581,2018-03-31,Walla Walla,32
582,2018-03-31,Whatcom,576
583,2018-03-31,Whitman,18
584,2018-03-31,Yakima,63
585,2018-04-30,Adams,5
586,2018-04-30,Asotin,8
587,2018-04-30,Benton,178
588,2018-04-30,Chelan,98
589,2018-04-30,Clallam,117
590,2018-04-30,Clark,943
591,2018-04-30,Columbia,2
592,2018-04-30,Cowlitz,55
593,2018-04-30,Douglas,41
594,2018-04-30,Ferry,2
595,2018-04-30,Franklin,37
596,2018-04-30,Garfield,1
597,2018-04-30,Grant,31
598,2018-04-30,Grays Harbor,47
599,2018-04-30,Island,184
600,2018-04-30,Jefferson,134
601,2018-04-30,King,12289
602,2018-04-30,Kitsap,743
603,2018-04-30,Kittitas,40
604,2018-04-30,Klickitat,25
605,2018-04-30,Lewis,78
606,2018-04-30,Lincoln,2
607,2018-04-30,Mason,71
608,2018-04-30,Okanogan,8
609,2018-04-30,Pacific,14
610,2018-04-30,Pend Oreille,4
611,2018-04-30,Pierce,1154
612,2018-04-30,San Juan,141
613,2018-04-30,Skagit,183
614,2018-04-30,Skamania,12
615,2018-04-30,Snohomish,2190
616,2018-04-30,Spokane,319
617,2018-04-30,Stevens,10
618,2018-04-30,Thurston,523
619,2018-04-30,Wahkiakum,1
620,2018-04-30,Walla Walla,34
621,2018-04-30,Whatcom,595
622,2018-04-30,Whitman,20
623,2018-04-30,Yakima,62
624,2018-05-31,Adams,5
625,2018-05-31,Asotin,8
626,2018-05-31,Benton,188
627,2018-05-31,Chelan,103
628,2018-05-31,Clallam,119
629,2018-05-31,Clark,963
630,2018-05-31,Columbia,2
631,2018-05-31,Cowlitz,58
632,2018-05-31,Douglas,44
633,2018-05-31,Ferry,2
634,2018-05-31,Franklin,38
635,2018-05-31,Garfield,1
636,2018-05-31,Grant,30
637,2018-05-31,Grays Harbor,50
638,2018-05-31,Island,187
639,2018-05-31,Jefferson,138
640,2018-05-31,King,12749
641,2018-05-31,Kitsap,781
642,2018-05-31,Kittitas,44
643,2018-05-31,Klickitat,26
644,2018-05-31,Lewis,78
645,2018-05-31,Lincoln,2
646,2018-05-31,Mason,77
647,2018-05-31,Okanogan,8
648,2018-05-31,Pacific,16
649,2018-05-31,Pend Oreille,4
650,2018-05-31,Pierce,1185
651,2018-05-31,San Juan,141
652,2018-05-31,Skagit,199
653,2018-05-31,Skamania,12
654,2018-05-31,Snohomish,2282
655,2018-05-31,Spokane,325
656,2018-05-31,Stevens,11
657,2018-05-31,Thurston,548
658,2018-05-31,Wahkiakum,1
659,2018-05-31,Walla Walla,34
660,2018-05-31,Whatcom,614
661,2018-05-31,Whitman,19
662,2018-05-31,Yakima,62
663,2018-06-30,Adams,5
664,2018-06-30,Asotin,9
665,2018-06-30,Benton,192
666,2018-06-30,Chelan,110
667,2018-06-30,Clallam,124
668,2018-06-30,Clark,1009
669,2018-06-30,Columbia,2
670,2018-06-30,Cowlitz,55
671,2018-06-30,Douglas,43
672,2018-06-30,Ferry,3
673,2018-06-30,Franklin,39
674,2018-06-30,Garfield,1
675,2018-06-30,Grant,31
676,2018-06-30,Grays Harbor,52
677,2018-06-30,Island,197
678,2018-06-30,Jefferson,144
679,2018-06-30,King,13173
680,2018-06-30,Kitsap,797
681,2018-06-30,Kittitas,47
682,2018-06-30,Klickitat,25
683,2018-06-30,Lewis,80
684,2018-06-30,Lincoln,2
685,2018-06-30,Mason,82
686,2018-06-30,Okanogan,9
687,2018-06-30,Pacific,17
688,2018-06-30,Pend Oreille,5
689,2018-06-30,Pierce,1228
690,2018-06-30,San Juan,145
691,2018-06-30,Skagit,207
692,2018-06-30,Skamania,11
693,2018-06-30,Snohomish,2350
694,2018-06-30,Spokane,341
695,2018-06-30,Stevens,11
696,2018-06-30,Thurston,572
697,2018-06-30,Wahkiakum,1
698,2018-06-30,Walla Walla,34
699,2018-06-30,Whatcom,633
700,2018-06-30,Whitman,19
701,2018-06-30,Yakima,60
702,2018-07-31,Adams,5
703,2018-07-31,Asotin,11
704,2018-07-31,Benton,193
705,2018-07-31,Chelan,112
706,2018-07-31,Clallam,127
707,2018-07-31,Clark,1042
708,2018-07-31,Columbia,2
709,2018-07-31,Cowlitz,57
710,2018-07-31,Douglas,43
