Station Name,Street Address,Latitude,Longitude
Hilton Bellevue - Tesla Destination,300 112th Ave SE,47.607592,-122.189582
LINC SQUARE EXP LSS P2 104-105,410 Bellevue Way NE,47.614456,-122.200654
LINC SQUARE EXP LSE P2 #1,410 Bellevue Way NE,47.614157,-122.20117
531614 :Sunset Corporate Campus,13810 Southeast Eastgate Way,47.5806355,-122.1564536
"Walgreens - Bellevue, WA #3662",647 140th Ave NE,47.6165569,-122.1537017
The Bravern,11111 NE 8th St,47.617103,-122.192456
BLOCK 16 FB BELLEVUE 21,1288 123rd Ave NE,47.62216,-122.176
AMZ SEA107-4,10450 NE 10th ST,47.619687,-122.200551
531631 - HQ Building 2 - P2,3655 131st Avenue Southeast,47.57865585,-122.1665252
Fred Meyer Bellevue #23,2041 148th Ave NE,47.6280692,-122.1438882
Ridgewood Corporate Square Building C,330 120th Ave NE,47.612834,-122.178704
Ridgewood Corporate Square Building F,150 120th Ave NE,47.611815,-122.178134
OBC STATION 1,411 108th Ave NE,47.614112,-122.196978
BLOCK 16 FB BELLEVUE 13,1288 123rd Ave NE,47.621743,-122.176008
UDR CHARGER 4,958 111th Ave NE,47.618696,-122.191787
BLOCK 16 FB BELLEVUE 6,1288 123rd Ave NE,47.621758,-122.175804
JLR BELLEVUE SHOP 01,13817 NE 20th St,47.627472,-122.155871
"Safeway #1600 (Bellevue, WA)",300 BELLEVUE WAYNE,47.61332,-122.20062
MICHAELSTOB MICHAELS'S TOYO,3080 150th Ave SE,47.582053,-122.14192
BLOCK 16 FB BELLEVUE 11,1288 123rd Ave NE,47.621671,-122.17589
BLOCK 16 FB BELLEVUE 7,1288 123rd Ave NE,47.621722,-122.175868
AMZ SEA107-5,10450 NE 10th St,47.619744,-122.200532
BELLEVUE SQUARE BELL SQ WEST #2,2088 Bellevue Square,47.616037,-122.205528
ONE88 SPACE 303 & 304,188 Bellevue Way NE,47.611826,-122.201331
AMZ SEA104-9,320 108th Ave NE,47.613391,-122.195782
AMZ SEA104-3,320 108th Ave NE,47.61339,-122.195793
BELLEVUE SQUARE BELL SQ NORTH 4,Bellevue Square - North Building104th Ave NE,47.61677,-122.203004
AMZ SEA104-5,320 108th Ave NE,47.613391,-122.195822
BLOCK 16 FB BELLEVUE 17,1288 123rd Ave NE,47.622158,-122.176042
BLOCK 16 FB BELLEVUE 15,1287 124th Ave NE,47.622172,-122.175417
AMZ SEA104-8,320 108th Ave NE,47.613392,-122.195765
AMZ SEA104-2,320 108th Ave NE,47.61339,-122.195775
AMZ SEA104-7,320 108th Ave NE,47.613391,-122.195743
AMZ SEA104-10,320 108th Ave NE,47.613389,-122.195787
LINC SQUARE EXP LSS P6 1,410 Bellevue Way NE,47.614098,-122.200748
AMZ SEA106-3,10550 NE 10th St,47.619784,-122.199758
AMZ SEA104-1,320 108th Ave NE,47.613391,-122.19581
LINC SQUARE EXP LSS P2 111-112,410 Bellevue Way NE,47.614394,-122.200531
AMZ SEA104-6,320 108th Ave NE,47.613392,-122.195727
AMZ SEA104-4,320 108th Ave NE,47.613392,-122.195757
AMZ SEA106-4,10550 NE 10th St,47.619791,-122.19971
KING COUNTY DES FACTORIA TRANSF,13800 SE 32nd St,47.582336,-122.158644
AMZ SEA107-3,10450 NE 10th St,47.619715,-122.200473
Whole Foods Bellevue (BLV),888 116th Ave NE,47.618675,-122.18436
